SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22023,1610612743,DEN,Denver Nuggets,0022300478,2024-01-04,DEN @ GSW,W,238,130,48,85,0.565,9,26,0.346,25,29,0.862,11,25,36,28,7,4,7,15,3.0
22023,1610612749,MIL,Milwaukee Bucks,0022300477,2024-01-04,MIL @ SAS,W,240,125,49,92,0.533,12,34,0.353,15,19,0.789,8,34,42,27,5,5,14,16,4.0
22023,1610612759,SAS,San Antonio Spurs,0022300477,2024-01-04,SAS vs. MIL,L,241,121,46,95,0.484,14,40,0.35,15,17,0.882,10,32,42,31,10,8,11,16,-4.0
22023,1610612744,GSW,Golden State Warriors,0022300478,2024-01-04,GSW vs. DEN,L,240,127,49,90,0.544,15,36,0.417,14,16,0.875,9,24,33,35,4,3,8,20,-3.0
